fréquence	t	UD
4	benturiñ	
4	guzun	
4	mae	
4	louzoù	
4	penn-kil-ha-troad	
4	louedañ	
4	botou-ler	
4	houezan	
4	(leazh	
4	tarzhet)	
3	hallfe	
3	iac'hât	
3	gouliou	
3	vuhe	
3	lousdoni	
3	Rabad	
3	gourre	
3	id	
3	ezom	
3	(daou	
3	chô)	
3	skoa(z)-ha-skoa(z)	
3	kost-ha-kost(ez)	
3	Foeltr	
3	Don'	
3	kourre	
3	heni	
3	ràet	
3	zant	
3	(laɤ)	
3	redeg	
3	keneud	
3	Prad	
3	Piw	
3	zac'had	
3	brenn	
3	-te	
3	brokus	
3	evitdezhi	
3	tit	
3	be'	
3	eon	
3	Lenn	
3	loustoni	
3	Raktal	
3	goueriadez	
3	gouent	
3	kastilhat	
3	kleñvedoù	
3	divyezhegezh	
3	Kouezhet	
3	micherourezed	
3	reolerezh	
3	amzervuzulier.	
3	Fae	
3	gelaouennerien	
3	pesketaer	
3	gi-bleiz	
3	mouezhioù	
3	kumuniezh	
3	Gwashoc'hik	
3	studiadenn	
3	Drouk-hirnez	
3	c'hleborek	
3	leizh	
3	a-dra-sur	
3	maget	
3	din.	
3	Toui	
3	C'hwitell	
3	kelennet	
3	divodest	
3	ouzhit	
3	Paotred	
3	kalonek	
3	genvreur	
3	risigner	
3	peurgousket	
3	vugaligoù	
3	tudoù	
3	sevenet	
3	urzhioù	
3	soñjez	
3	blijadur	
3	Dour	
3	goañvezh-se	
3	kitar	
3	orañjez	
3	danvez	
3	gregiñ	
3	gwelloc'hikañ	
3	padout	
3	krenadennoù-douar	
3	bu	
3	Chuchumuchu	
3	Pitiaoul	
3	hizio	
3	Trouz	
3	ziskouez	
3	c'hoarezed	
3	dianav	
3	dizifenn	
3	retañ	
3	A-boan	
3	anavezit	
3	a	
3	c'hast	
3	West	
3	serriñ	
3	striv	
3	Diwallit	
3	dispak-bras	
3	eskell	
3	az	
3	eee	
3	c'hellfes	
3	zegemer	
3	paramouz	
3	kannadour	
3	Lucky	
3	Luke	
3	aesoc'h	
3	koll	
3	barvioù	
3	besteodiñ	
3	tribledie	
3	Dizesk	
3	gloan	
3	eiz	
3	diouvreh	
3	vlazenn	
3	Brilli	
3	fresk	
3	diner	
3	vrellenn	
3	c'hontrol	
3	sal	
3	c'houilia	
3	pebezh	
3	dichañs	
3	gwalc'hiñ	
3	James	
3	].	
3	dalc'hmat	
3	c'hallfe	
3	savas	
3	tigarez	
3	Mammig	
3	Lammat	
3	kouezhas	
3	zigeriñ	
3	genoù	
3	brozh	
3	skrab	
3	trumm	
3	glin	
3	dehoù	
3	Fidamdiee	
3	munutenn	
3	taksi	
3	ouelañ	
3	Daonet	
3	polis	
3	daonet-se	
3	per	
3	graza	
3	darnet	
3	meno	
3	tarzhas	
3	dazloc'her	
3	lomm	
3	blom	
3	zeuy	
3	laouer	
3	tiverañ	
3	dôenn	
3	c'helenner	
3	Hmmmm	
3	gwered	
3	died	
3	diedoù	
3	galian-se	
3	gweredoù	
3	berrbad	
3	Diflipet	
3	dirazañ	
3	Evidout-te	
3	zouster	
3	skede	
3	pennfollañ	
3	virfes	
3	daremped	
3	Difloupet	
3	a-dre	
3	emgann	
3	siouaz	
3	tougen	
3	viz	
3	c'harr-tan	
3	Ber	
3	diri.	
3	dresadenn	
3	Gallet	
3	arboellañ	
3	Mañ	
3	Hervez	
3	roc'hou	
3	groze	
3	gwerzidou	
3	C'hola	
3	Klakenned	
3	baotred-se	
3	mennozh	
3	klevout	
3	flaer-se	
3	hañval	
3	droiad	
3	den-mañ	
3	fornioù	
3	pri-livet	
3	Goap	
3	Gouest	
3	gerzhet	
3	skaotañ	
3	merien	
3	gwesped	
3	aval	
3	dent	
3	Ezhomm	
3	felle	
3	bourrus	
3	Mateo	
3	Netra	
3	Paouezit	
3	sotonioù	
3	Hegarat	
3	eo-int	
3	harzal	
3	Harz	
3	breno	
3	wisko	
3	c'hentañ	
3	Re-holl	
3	evel-henn	
3	evel-hont	
3	du,	
3	Breizh-Izel	
3	roll	
3	renerien	
3	gwelaat	
3	domder	
3	gemeret	
3	peurvuia	
3	nemetañ	
3	Evitañ	
3	Sakr	
3	Lakait	
3	c’halleg	
3	lise	
3	maezioù	
3	kel	
3	kentoc’h	
3	wad	
3	glevout	
3	raemp	
3	koar	
3	gerniel	
3	unan.	
3	Kurun	
3	Du-mañ	
3	hañv-c’hoañv	
3	vistri	
3	Degas	
3	-se	
3	hel	
3	Labourat	
3	wastell	
3	familh	
3	ac'hanon-me	
3	gefrisa	
3	Div	
3	mezh	
3	Kis	
3	kis	
3	yao	
3	diwall	
3	oberenn	
3	!!	
3	(√/?	
3	etrezañ	
3	wazed	
3	ne'	
3	skrivañ	
3	Mennet	
3	mard	
3	afemp	
3	preti	
3	grit	
3	befe	
3	kezekenned	
3	Kontañ	
3	vignonez	
3	ra-netra	
3	zigollas	
3	divalav	
3	c'huzh-ha-muz-se	
3	mut	
3	sulvezh	
3	c'heloù	
3	n’eo	
3	Salud	
3	Tata	
3	Klevout	
3	Bendigeifran	
3	diouzhtu	
3	drailhet	
3	fav	
3	zu	
3	toennoù	
3	}.	
3	karr	
3	Yao	
3	hoajoù	
3	evelkent	
3	galonad	
3	deñvaladenn	
3	guzadenn	
3	bér	
3	berv	
3	glebiet	
3	biz	
3	lesk	
3	gorzaillenn	
3	Gand	
3	diêzamant	
3	barriou	
3	warlene	
3	toskan	
3	hizier	
3	gouezarded	
3	ankounahaüz	
3	treud	
3	zispign	
3	hounedigez	
3	votadeg	
3	irvin	
3	doureg	
3	reut	
3	geginèrez	
3	gwri	
3	Geor	
3	a-greiz-tout	
3	klakenni	
3	rèo	
3	a-wazhiennadoù	
3	voutaill	
3	trouzillal	
3	Jɑ̃	
3	Mai	
3	amɑ̃	
3	fêntuz	
3	kerhet	
3	c'hwero	
3	Bréma	
3	Vreizh	
3	livet-fall	
3	Evelkent	
3	ouzim-ni	
3	vleo	
3	a-droujouez	
3	zizun-mañ	
3	geus	
3	A-wechou	
3	soñjo	
3	kalondev	
3	chaflik	
3	pastel	
3	zegouezo	
3	C'hoariet	
3	adtaol	
3	lostenn-ze	
3	berr-alan	
3	helorn-ze	
3	amparfal	
3	ankouaad	
3	doa:	
3	Ez
1	bihan…	
3	tïaocha	
3	koad-se	
3	muiañ	
3	fiñvo	
3	Lak	
3	refont:	
3	sec'hfont	
3	refont	
3	zas	
3	distoket	
3	lapined	
3	varvont	
3	zantoud	
3	vannah	
3	hentañ	
3	Gout'	
3	a-bell	
3	plaset	
3	binviou	
3	daou-hement	
3	bopred	
3	quoi	
3	botoù-me	
3	gac'ho	
3	gavo	
3	Skoulm	
3	tiflipfe	
3	diganit	
3	diouzoh	
3	dãmã	
3	A-viskoaz	
3	dañjerus	
3	dibi	
3	awalo	
3	},	
3	gouezhañ	
3	tie(z)-mañ,	
3	boufonet	
3	boulboazet	
3	donenn	
3	paste	
3	nebeutoh	
3	paieañ	
3	gaoutuz	
3	zerre	
3	butun	
3	Tremenet	
3	c'hoant-kousket	
3	hoari	
3	dourc'hwez	
3	dibennet	
3	teufet	
3	deusontañ	
3	chaoker-e-henou	
3	logod	
3	drouklaouen	
3	kwelout	
3	am-bije-me	
3	neblec'h	
3	baieañ	
3	stagañ	
3	sall	
3	gwrïad	
3	zelled	
3	boueta	
3	kir	
3	gostez	
3	gollet	
3	zraoù	
3	an
2	debrer-gleskered.
2	skiant
21	lakaad
10	ano
3	lañchore
15	du-mañ
8	peleh
3	abuzet
3	falz-se
4	fouetet
7	c'houlenn
1	biw
2	bihan-se
4	emezon-me
4	petore
3	soub-se
3	zarneiñ
17	druz
10	zoubenn
1	zarneui
12	galon
4	laosk
5	darngofad
7	kerez
5	paneogwir
3	Lomig
2	davet
3	zaol
1	da-vidout
6	Poent
19	deom
6	da-vid
7	Piou
6	yelo
7	journal
1	tislavared
1	grene
2	diontañ.
3	Degouezhet
4	Fañch
2	Kichen
21	ranke
3	geneuta
2	Moarvat
2	zalho
2	Hag-eñ
3	az-teus
2	binijenn
2	viñs
2	pare-zevet
1	skillou.
2	dihouzougañ
1	Kristof
1	zigristofi
3	ahanout
1	diloer
2	zislavaran
2	Kenkoulz
2	tiaoulad
7	gozh-kozh
7	ziflukas
7	c'hogn
3	dalhet
3	Jobig
7	Deh
2	lizer
2	voued
4	diganin
6	zigarez
7	lezel
3	takenn
2	Digoulzañ
6	zimeziñ
5	bik
2	zeuas
5	skouarn
1	borpant
1	dresa
1	dindannout
4	gaozea
1	diouzhit,
6	gra
1	vezint
7	diouzhit
2	podou
2	gré
2	skôtet
5	anat
13	pare
1	halañ.
3	Deg
11	om
7	Gwall
6	sav
3	hoazez
3	vann
22	teir
12	ahanom
26	labourad
6	loened.
3	hiz
3	zaoulammad
2	Diskenn
1	karez,
37	eh
3	onn
3	petra-mañ
3	kaol-mañ
6	Jañn
2	maeronez
2	hizier,
2	zalh
9	gouez
3	disterra
1	tazon
1	bragou-ze
4	Bezo
8	bezo
4	gavr
4	menn
2	tiviza
2	Leuskel
2	diwarnoc'h
12	weled
2	diwarbenn
2	diabarz
2	dleje
6	lakeet
2	dreistout
4	poull-ze
7	tlee
1	dleches
1	dluzh
7	fell
7	tapout
12	outo
3	a-zivout
7	tond
2	filostad
4	tezennou
4	fentuz
1	Aonig
2	hir-amzer
34	teuio
9	e-barz
3	oaled-mañ
4	Kraoñ
5	digantañ
2	n-iņt
12	Poan
4	devo
5	zougen
9	hig
1	zizoura.
2	dre-oll
3	Oto
4	If
3	dreset
1	Hec'h
6	droed
1	bañsion
2	A-hervez
2	troukkomz
8	eviti
1	droukkontet
2	paour-mañ
4	draou
5	Hizio
3	Feson
3	droukoh
3	e-nevez
2	dukarded
2	(duarded)
1	meleganed.
2	fatiket
2	Jenovefa
2	harmad
2	inosantez
2	Serri
8	eure
2	ei
6	zod
3	Fedamdoustek
3	goef
2	faoutet
2	kokenn
1	ho-taou
15	hepken
2	c'hellis
5	pakañ
5	e-keit
4	c'hoarzhe
2	hec'h-unan
2	E-kerzh
2	rastellerez
3	avel-suill
2	Ignatich
5	goulennet
6	kelenner
2	kreizig-kreiz
2	Rusia
9	a-leiz
1	e-sell
10	heb
30	ger
4	blac'h
1	Boujant,
1	dimeet
1	deusonte
3	Me]
3	zoursian
5	Hini
1	eisteiz
5	tanvaet
17	just
4	ebeulez
5	skei
7	harr
4	hourvez
1	font
1	Mé
1	gwéled
7	ann
1	ébén
1	vlenierien
7	_[ø_
1	Bezañ
1	ee
2	Euz
2	nevez-dremenet
1	Trabidellañ
1	gweañ
5	emon-me
11	nehet
2	Emberr
4	az-po
22	eul
9	lard
1	Natali
8	awalc'h
1	gerzhed
2	gane
1	chantier
1	ul[/nonn
1	labourat.
2	Gout
4	Debriñ
1	ardoù
2	Skañv
3	end-eeun
4	warne
2	Kalkenniñ
1	douez…
2	roët
2	ergentaou
2	Gouvezit
2	haoz
28	peogwir
5	gontel
1	espres
1	espres-kaer
1	Ranket
1	a-espres
4	noz-mañ
7	lakat
3	devel
1	Estroh
1	ostalerïou
3	cholori
6	estren
4	Gwelloh
1	Sellet
4	etrezeg
8	reot
14	gwelloh
12	neuz
4	seh
3	Kanañ
3	iskis
3	eveldomp
3	karez
3	hoz
2	tok-mañ
5	E-lec'h
2	tôler
3	evez
2	dourvarc'hat
6	nebleh
1	bennou
1	pôtr-kêz-se
5	henoz
3	Vid
68	nevez
3	diweza
5	kenta
3	nevo
1	C'hoaz
2	horrekaëz
2	evidout
2	gosâd
6	glac'haret
8	ouzout
1	Kaeraat
1	Gwasɑ̃
1	gaera(t)
1	frikadennou
3	zonje
3	giz-se
3	c'hellfe
3	kregiñ
2	hég
3	Charlez
5	voubou
5	diouskouarn
1	avel-mañ
3	chiminal
1	vad!
1	trabaser-mañ
2	trawalc’h
2	ive.
3	(/ez
4	eus)
41	nor
1	(diouzoh/ahanoh)
7	souezet
5	a-walc’h
1	diontañ
12	rafe
4	ferhier-houarn
2	C'hoarzin
2	digalon
2	sempla
1	Tarlonka
1	mouga
4	luskellat
14	ahanon
4	fenoz
1	duarded
2	meleganed
2	fesonet-fall
2	Feteiz
2	sovaj
3	vat.
2	Evito
2	feuls
2	vhiwfé-ked
2	ibiļ
2	Disadorn
4	am-bo
1	foueta
6	baganez
9	stag
6	brizhkredennoù
2	Anduri
2	karoud
1	A-hont
3	zavo
6	ranko
7	welas
1	skeud
1	gwenn,
1	difoeltra
3	dour-ze
4	beleh
2	deuio
8	sacha
6	gordenn
12	o-devoa
8	torret
1	diroudet
10	biou
5	degemeret
10	Gwelloc'h
2	gedon
2	tammmig
4	Krigi
8	c'hlas
1	harme
1	ma-unan
5	reen
3	Penoz
15	ganet
8	vraz
3	pud
6	Bilzig
4	rannas
5	gwarded
5	c'heunioù
3	balan
3	zev
2	vrumenn-ze
2	glebiañ
2	sehañ
4	dirusket
4	c'hlin
1	oberïans
2	heg
1	Larjé
1	mɑ̃nn
1	dĩ
3	goudé
1	klèwe
28	zud
3	c'houlent
9	miret
1	born
6	dall
3	wasan
1	grenardenn
12	gaer
3	gerc'had
2	hen-ha-hen
2	paour-pe-baouroh
2	Karantez
1	well
4	gwetur
3	marichal
3	daoulammet
1	o-devez
1	êllɑ̃-ke
1	laad
49	ag
1	ẽ
1	mó
3	gleb
3	kraz
2	Patatez
18	toulloù
1	hantérhér
1	glevom
4	faotr
1	Lipet
16	loa
2	paour-kêz
3	merc'h
2	henañ
13	roue
11	c'hoad
6	guz
3	vekaniker
3	dennet
3	reoù
3	vrein
1	(4)b
1	tier:
1	Meurz-al-lard
4	holl_1_
13	draoù
8	plas
1	kig-mañ
2	toudd
2	dut
15	re-mañ
6	zoñj
2	hopet
18	warnañ
10	raktal
3	kaos
2	hopes
2	velse
10	vab
2	a-groaz
2	Hon
2	Hunvre
2	zegouezhe
5	vlevenn
2	lakaen
7	a-gostez
6	imor
16	naon
7	yeas
3	livet
3	lano
2	hen-ha-hen,
2	zad-kozh
2	Bederneg
3	zizoura
1	duman
2	gwelfet
4	sod
2	Mari-ze
1	az-pije
1	loened-ze
1	palvata
10	tost
1	e-nije
6	jamez
1	Arozet
6	jardin
2	jãndarmed
2	oaz
2	a-nevez-vet
1	meurz
1	varvas
1	6
1	Meurzh
1	kroaz
1	Hola
1	Kaoz
1	etrezoh
2	(kaer)
2	den-se
6	kêz
1	gêz
2	halon
4	noaz
4	digoret
2	c'halbennad
12	pa'
6	eer
1	Gerbirïou
7	Homañ
8	glevas
15	anezhe
3	re-man
1	Ne]
1	nijé-ked
6	ré
1	góós
2	sé
1	kalles
53	de
3	lare
1	tahh
3	Kaoziou
3	kaoziou
1	bien]
4	korf
4	karnel
4	gêr-mañ
2	loen-kezeg
26	toull
3	c'hegin
1	flistre
3	barrouzh
4	Biskoaz
1	dispurlu
3	e-traoñ
12	prad
3	skuiz
2	fatika
3	fagodenn
3	seder
4	tisko
6	veajourien
3	flasoù
1	david
3	Neb
1	goeñvin
12	kontant
3	Peb
1	kontell
1	normalamant
1	tier.
4	gleve
1	karrigell
6	oto
1	diskloz
1	sellan
1	(/
1	goz-amzer)
3	pin
3	dorr
7	krak
7	Lavared
6	nann
3	zeue
1	krak-vezo
2	grïal
2	diluzia
2	lasou-mañ:
2	kroaz-hualet
5	maout
1	kroas-hualet
1	Tour
7	Iliz
1	krommlinenn
2	dremmwel
7	kustum
3	trein
1	dioutañ
7	bemp
1	am-bije
1	erbedet
1	gwenneien
5	am-boa
2	zevel
1	hoant
4	gwerzet
1	Werc'hez
2	meulet
14	ganeoc'h
7	ø
8	goañv
8	(ar)
6	gambr
1	Arri
1	vazh
1	volotenn
2	hent-se
5	brasoc'h
1	(B>V)
13	reiñ
2	taol-sikour
2	c'holkoz
1	zavañjer
3	lous
2	fatatez
4	lêz-kezeg
4	lêz-saout
1	gloér
2	lakee
17	ed
1	dansal
1	barriou-avel
3	Laa
3	nœs
3	tĩ
3	penõz
8	wa
3	Jobéĝ
3	võnn
2	dimĩ
3	lizherou
8	lenne
2	ganit-te
1	kouezfe
1	dezañ.
9	eman
2	zoenn
2	warnezho
2	vefont
6	diskaret
2	zavo-hi
2	an-nevo
5	goan
2	bèrn
2	labour-zé
2	ém
9	t'
1	nê
3	diskuizet
1	Gastell-(Paol)
2	nesañ
5	lerc'h.
3	mouget
3	sac'had
2	plê
2	dispignfez
1	Pôl
4	Ian
1	evitan
1	nahan
3	El
2	loar-mañ
2	hlao
1	Vêll
1	vɑ̃m
6	(e)
1	gozé
2	Mẽ
2	wié
2	tœjé
2	mœdœsin
1	nê.
1	dimĩ.
8	deiz-se
1	leinañ
2	labour-douar
1	boanius
11	(*
1	paotr-mañ
1	aleshont
5	damdost
1	Pesé
1	nijé
1	évhed
6	vijé
1	gwẽ
4	Lonka
4	homzou
1	brénjé-ke
1	giĝ
1	méɑ̃
1	nɑ̃vɑ̃i
1	bugel-ze
1	Kaz
1	mawéķ
1	kenit
2	soñjen
4	he-dije
2	trompet
2	zodez
2	fin-mañ
6	dougen
3	mare-se
1	goar
1	Den-ma-den
5	Forzh
1	biv
13	dije
1	frammet-mat
1	Eston
3	bean
8	gantan
4	Daouzek
4	vla
9	tri-ugent
7	rofe
3	ouspenn
2	hounez
2	deg
7	lur
2	zizunvez
2	well-waz
1	gwigour
1	potou
18	saout
2	Tak
22	Ken
6	vaz
1	Sèz
1	gaoze
4	tommoc'h
1	vloaz],
1	Varianna
3	perac
1	h-eus-te
1	laset
7	maez
1	-eñ
2	botou
1	c'hounezo
3	vank
25	dija
10	pelec'h
2	hweh
2	eur:
2	ouspennig
2	peurleun
4	dec’h
1	lorc’h
1	yalh
1	herreg
1	abuzi
1	asïed
4	hervez
11	lâr
3	Petore
5	kwa
2	pentañ
12	loeroù
1	lorc’hus
3	e-leh
2	Goulennit
1	malestoué
1	mallestoué
1	génóek
11	troad
1	Gwel
2	divezvi
1	fulenn
1	spilhenn
2	lusk
10	vonet
5	aot
1	ivinad
3	borhell
2	Prestik
2	kroge
1	Moeien
2	varn
1	yeotenn
1	voeien
1	dostaad
2	bihan….	
3	poueziou	
3	Kemeret	
3	A-nevez	
3	gwasa	
3	sèrten	
3	divac'hagn	
3	penn-da-benn	
3	trohet	
3	plant	
3	dra-man-dra	
3	distag	
3	kolle	
3	kaz	
3	viot	
3	kalamarhad	
3	bad	
3	dim	
3	vansoniaj	
3	hoataj	
3	daouzegad	
3	boutailhoù	
3	gêriadenn	
3	gaouiad	
3	adarmeaded	
3	Itron	
3	zirollas	
3	dabutal	
3	wiskamant	
3	Kerne	
3	potr	
3	vë	
3	Gallo	
3	…]	
3	kanaouennoù	
3	levenez	
3	pouezañ	
3	droadikell	
3	heuliañ	
3	gorteiñ	
3	betek	
3	inkane	
3	furbuen	
3	melc'hod	
3	yaouanka	
3	aneo	
3	terrupla	
3	istoriou	
3	burzudus	
3	skrijus	
3	Goudese	
3	ambren	
3	dewezh	
3	have	
3	lev	
3	vefomp	
3	grenn	
3	vourre	
3	Langleiz	
3	peuriñ	
3	hadañ	
3	is	
3	geizoù	
3	bageerezh	
3	feurmiñ	
3	c'hanod	
3	c'heflusker	
3	a-zoare	
3	gwalarn	
3	reio	
3	du)	
3	Anet	
3	anavezez	
3	gac'haat	
3	choa	
3	trakteur	
3	farsus	
3	disul	
3	yaou	
3	adal	
3	sklɛʁ	
3	ton	
3	Aliezig	
3	lorgenn	
3	Anavezet	
3	pleuñv	
3	Floc'h	
3	askell	
3	péger	
3	c'histin	
3	bremaïk	
3	dare	
3	valefen	
3	Pegourss	
3	ellamb	
3	boutt	
3	banic	
3	ahuel	
3	oberoù	
3	barn	
3	aon,	
3	atô	
3	renke	
3	Dimeuz	
3	larfet	
3	iello	
3	birviken	
3	retornin	
3	skubet	
3	perenn	
3	T'	
3	klewet	
3	garew	
3	Neket	
3	deiz-ha-bloaz	
3	peotramant	
3	larae	
3	dehi	
3	ah
11	rin
3	kin…	
3	Emzavoh	
3	tokou	
3	moal	
3	lennont	
3	c'hoarier	
3	walldro	
3	Pik	
3	vran	
3	hwito	
3	kousked	
3	dous	
3	Pere	
3	Que	
3	zistag	
3	darnij	
3	dir	
3	patatez-mañ	
3	galv	
3	ezho	
3	feal	
3	amzer-se	
3	anaon	
3	ac'hanoun	
3	hirder	
3	zibri	
3	Dereat	
3	teufec'h	
3	viemp	
3	diavêz	
3	Hui	
3	tammou	
3	meuleudi	
3	dirazo	
3	ankeniet	
3	leñva	
3	peoc’h	
3	E-mod-se	
3	koduiñ	
3	teuy	
3	zerri	
3	vervel	
3	zornañ	
3	lambig	
3	liviou	
3	disheñvel	
3	planedenn	
3	lakaer	
3	Plunered	
3	enoret	
3	dreistoll	
3	Forges-la-Forêt	
3	ed-du	
3	(ma	
3	kornia	
3	gyzin	
3	zebʁajn	
3	e-giz-mañ	
3	nask	
3	buoc'h	
3	stleja	
3	yaen	
3	Cherr	
3	traou-all	
3	devez-se	
3	dezan	
3	despet	
3	diwezha	
3	Mall	
3	eston	
3	skouer	
3	lakefen	
3	fesen	
3	Marsel	
3	Montroulez	
3	Vontroulez	
3	Tennet	
3	eus'	
3	Kanet	
3	anezhan	
3	feskennoù	
3	c'houadur	
3	a-ziavaez	
3	diabarzh	
3	penoz	
3	hiziou	
3	glow	
3	déez	
3	gameréit	
3	sauter	
3	pissine	
3	veher	
3	goullo	
3	Kriz	
3	ouelje	
3	gourbleget	
3	(w)ar	
3	De'	
3	laerien	
3	biloioù	
3	zeizh	
3	maligorn'	
3	d.	
3	Rhum	
3	gwet	
3	korz	
3	ar'	
3	di'	
3	boeson	
3	Vez	
3	Djwelet	
3	asames	
3	beo)	
3	bedoù	
3	widin	
3	Ie	
3	nebeutañ)	
3	(ur)	
3	Ouzh	
3	ma(ñ)	
3	oet	
3	gaor	
3	Ilgostea	
3	koñchennou	
3	sebezus	
3	strafuilha	
3	madigoù	
3	mɔ̃	
3	Gallout	
3	c'hant	
3	mirout	
3	penaus	
3	direunet	
3	glaskan	
3	gwerza	
3	toullgov	
3	Breman	
3	plec'h	
3	Breinañ	
3	boutot	
3	dë	
3	roeñv	
3	kustume	
3	Boaz	
3	erru	
3	Mes	
3	lar'	
3	él	
3	zo,	
3	stur	
3	serri	
3	ér	
3	din,	
3	silzig	
3	blad	
3	c'hein	
3	-int	
3	tøs	
3	gɥɛl	
3	dø	
3	hãn	
3	bʁas	
3	nijal	
3	rit-hu	
3	Kea	
3	Laerichoù	
3	echedoù	
3	kereat	
3	zuzun	
3	rhum	
3	alkolik	
3	vevomp	
3	voeson	
3	lammomp	
3	c'hoarian	
3	dromplet	
3	Jack	
3	vedoun	
3	beche	
3	brasoc’h	
3	telefonet	
3	saludet	
3	n’int	
3	kountan	
3	Bugel	
3	mean	
3	dorre	
3	(buan)	
3	Mag	
3	Douarnenez	
3	dremene	
3	nac'het	
3	ahanoh	
3	(ne)	
3	Par	
3	pu	
3	aergelc'h	
3	plijus	
3	noñ.	
3	o'	
3	hent-sen	
3	amzer-gwall	
3	Vro	
3	Oz.	
3	Angela	
3	aomp	
3	Glavaj	
3	boblañsad	
3	guélet	
3	surtout	
3	(na)	
3	braùet	
3	gowessat	
3	Lemel	
3	fagn	
3	ac'hanemañ	
3	c'hwitellat	
3	flankenn	
3	diblaen	
3	kartoù	
3	gulotoù	
3	gargouilhennoù	
3	vankahe	
3	A-nebeudigoù	
3	labourizion.	
3	rouzet	
3	kuilhet	
3	gozhoni	
3	E'	
3	paraat	
3	a-zoc'hti	
3	naùvet	
3	chte	
3	hei	
3	ariù	
3	ihuél	
3	e-korf	
3	a-kostez	
3	gouil	
3	leah	
3	Berr	
3	tiadoù	
3	tosta	
3	C'hwec'h	
3	beviñ	
3	Evite	
3	biskwax	
3	trəwalx	
3	argãt	
3	tiver	
3	pesked…	
3	aesañ-tout	
3	afaer	
3	Kement-se	
3	fedenn	
3	/məmbez	
3	ra-kweɲ	
3	ouelet	
3	gwallaozet	
3	stalioù	
3	gol	
3	brop	
3	pex	
3	əzaj	
3	leret	
3	.'	
3	Gi	
3	če	
3	ti:xed	
3	chaoser	
3	velin	
3	vez-heñv	
3	rekinal	
3	skoé	
3	taul	
3	bepred.	
3	deur	
3	paperioù	
3	vevahomp	
3	taolad	
3	bourrapl	
3	pintet	
3	brəzeil	
3	əbed	
3	žamaes	
3	a-gaoz	
3	gost	
3	ous	
3	chomou	
3	zèbein	
3	genem	
3	yaouankañ	
3	choajo	
3	kej-mej	
3	gwelead	
3	ferm	
3	etaldin	
3	Oriant	
3	Tostennoù	
3	glannoù	
3	Blaouezh	
3	joa	
3	kwelet	
3	ein	
3	più	
3	hellou	
3	havet	
3	troc'het	
3	koed	
3	tein	
3	chtaldoc'h-c'hwi	
3	Sachet	
3	tunet	
3	vri	
3	dosta	
3	Xizo	
3	y:rys	
3	tə-zit	
3	toare	
3	c'hemerin	
3	Nolwenn	
3	zihan	
3	bediñ	
3	Tec'het	
3	ket-eñ	
3	Lareit	
3	huès	
3	toheign	
3	guellañ	
3	buhé	
3	doc'htoñ	
3	zonet	
3	gwelan	
3	chuaic'h	
3	torheiñ	
3	ar-n-ou	
3	krizv	
3	Chetu	
3	kontiñ	
3	sar	
3	huei	
3	kaust	
3	ës	
3	lakeit	
3	ghunaic'h	
3	äl	
3	lair	
3	Respont	
3	karan	
3	rahe	
3	èltoñ	
3	vehent	
3	B'	
3	ùenang	
3	ouiañ	
3	Emen	
3	kentizh	
3	pontoù	
3	Skornet	
3	erhat	
3	-evit	
3	espera	
3	tuemm	
3	blez-mañ	
3	Stert	
3	zeal	
3	Faota	
3	ali	
3	hent-bras	
3	gwall-vras	
3	wiskiñ	
3	berrik-mat	
3	Donet	
3	vorgousket	
3	harzan	
3	vennont	
3	dishañval	
3	doc’hte	
3	housket	
3	Hiraezh	
3	hoc’h	
3	pasemãt	
3	mi_e_w	
3	eẅe	
3	adjudant	
3	?'	
3	d’er	
3	Stankaet	
3	denniñ	
3	Toulliñ	
3	Ker	
3	emb	
3	monnet	
3	èldoc'h	
3	poultr	
3	reket	
3	fəxen	
3	én	
3	mignon	
3	c'hregiñ	
3	ledãn/	
3	/pe	
3	xaŋ	
3	əlakex	
3	təxoŋ	
3	Livet	
3	sotoc'h	
3	intañvez	
3	dudigoù-mañ	
3	diskoaz	
3	beus	
3	éan	
3	vrunelle-ni	
3	àr-un-dro:	
3	gwir!	
3	chet	
3	leuskel	
3	mên	
3	eus-hañ	
3	troved	
3	».	
3	/pənošt	
3	leiẃes	
3	lien	
3	zimezan	
3	matez	
3	evitoñ	
3	ferwet	
3	plegiñ	
3	parskan	
3	dait	
3	muntr-se	
3	eus-hoñ	
3	Oa	
3	zegas	
3	c'heller	
3	yoc’h	
3	klemmadennou	
3	hirvoudi	
3	tap'	
3	Stramwelet	
3	glazer	
3	vet'	
3	chirijenn	
3	diegezh	
3	kaloneg	
3	E-leh	
3	gan	
3	tanvez-amann	
3	bizier	
3	uz'	
3	gob'	
3	pikurio	
3	ewid	
3	chikour	
3	kaet	
3	nei	
3	goulskoude	
3	c'hwezet	
3	krae	
3	baz	
3	Aih	
3	Gastoù	
3	Paket	
3	Eõn	
3	dreñoñ	
3	emout	
3	velon	
3	valez	
3	Aï	
3	maint	
3	he-unan	
3	ganoc'h	
3	bihetch	
3	goeñf	
3	esayet	
3	mikseur	
3	vanchan	
3	nehoñ	
3	r'	
3	a-dost	
3	efe	
3	boesoñ	
3	a-rôk	
3	dimêt	
3	tea	
3	dommet	
3	Abagoa	
3	var-dro	
3	vordiallourez	
3	abdal	
3	Yégn	
3	rè	
3	n-dro	
3	Divennet	
3	relijion	
3	giztañ.	
3	Debrit	
3	louet	
3	sine	
3	divew	
3	ambrouget	
3	Kemener	
3	Laer	
3	groug	
